collection_week,hosp_00-17_7_day_sum,hosp_18-19_7_day_sum,hosp_20-29_7_day_sum,hosp_30-39_7_day_sum,hosp_40-49_7_day_sum,hosp_50-59_7_day_sum,hosp_60-69_7_day_sum,hosp_70-79_7_day_sum,hosp_80+_7_day_sum,hosp_all_ages_7_day_sum,frac_hosp_00-17_7_day_sum,frac_hosp_18-19_7_day_sum,frac_hosp_20-29_7_day_sum,frac_hosp_30-39_7_day_sum,frac_hosp_40-49_7_day_sum,frac_hosp_50-59_7_day_sum,frac_hosp_60-69_7_day_sum,frac_hosp_70-79_7_day_sum,frac_hosp_80+_7_day_sum
2020-07-31,22.990000000000002,1.99,44.233333333333334,76.60666666666667,58.48333333333334,147.0666666666667,200.33999999999997,224.15666666666672,224.57000000000008,1000.4366666666666,0.022979965415102076,0.0019891314126164908,0.044214026541743445,0.07657322968970218,0.05845780675771581,0.14700247558566096,0.20025255638371242,0.22405882764526164,0.2244719805684852
2020-08-07,29.556666666666665,6.406666666666667,35.1,74.58333333333331,63.976666666666674,150.5233333333333,195.5733333333334,201.46999999999997,239.04666666666668,996.2366666666668,0.029668318438389803,0.006430868167202572,0.035232591987847596,0.07486507556771982,0.06421834169256971,0.15109194267761003,0.19631212128309544,0.2022310629000471,0.2399496772855178
2020-08-14,28.913333333333334,2.9266666666666667,46.663333333333334,64.39000000000001,53.61,96.5,177.48999999999998,186.64666666666668,175.78333333333333,832.9233333333333,0.03471307883478672,0.0035137287545472374,0.0560235635932879,0.07730603456900798,0.06436366692412668,0.11585700164480925,0.2130928416781056,0.22408625043521416,0.21104383356611453
2020-08-21,32.483333333333334,2.5100000000000002,41.61666666666667,62.82333333333333,52.29,108.56999999999998,167.62000000000003,201.87,160.51666666666668,830.3000000000001,0.039122405556224656,0.0030230037335902686,0.05012244570235658,0.07566341482998112,0.06297723714320125,0.13075996627724915,0.20187883897386488,0.24312898952185955,0.19332369826167248
2020-08-28,19.53,6.523333333333333,39.41666666666667,74.08333333333334,56.49333333333331,101.11333333333336,156.0166666666667,178.20333333333335,167.92333333333335,799.3033333333334,0.02443377774812232,0.00816127377591319,0.04931377741449846,0.09268487974944849,0.07067821561276275,0.1265018286758052,0.1951908119987823,0.22294831749315028,0.21008711753151701
2020-09-04,17.153333333333336,3.0900000000000003,29.903333333333336,59.67333333333332,53.98333333333333,107.39333333333333,166.39666666666665,199.94333333333338,208.52666666666667,846.0633333333335,0.020274289946773095,0.0036522088574929374,0.03534408377623424,0.07053057493725841,0.06380531008316949,0.12693297192093575,0.19667164396676365,0.23632194595361264,0.24646697055775962
2020-09-11,23.463333333333335,6.03,37.933333333333344,63.46666666666667,70.56333333333335,116.45333333333333,176.47,182.98666666666668,188.91999999999996,866.2866666666665,0.027084952633077586,0.0069607443263584815,0.04378843031175209,0.07326289219119153,0.08145494563000703,0.13442817235249305,0.20370854913308145,0.21123107824199847,0.21808023518004047
2020-09-18,28.523333333333333,2.8933333333333335,37.07666666666667,79.10000000000001,77.01666666666667,107.86666666666666,226.50333333333336,191.63,188.9233333333333,939.5333333333335,0.030359043496771442,0.003079543035549563,0.039462853899098836,0.08419073298800822,0.08197332008798693,0.11480877031150213,0.24108067835095434,0.203962960334918,0.2010820974952103
2020-09-25,26.240000000000002,4.49,44.33666666666666,68.64333333333332,45.43000000000001,116.97666666666667,224.54000000000008,220.66333333333333,224.63000000000002,975.9500000000002,0.026886623290127566,0.0046006455248732,0.0454292398859231,0.07033488737469472,0.0465495158563451,0.11985928240859332,0.23007326194989502,0.22610106392062432,0.2301654797889236
2020-10-02,23.05,1.5233333333333334,45.493333333333325,62.00333333333335,75.89333333333333,119.99666666666664,176.83666666666667,239.2366666666667,238.33666666666664,982.3699999999999,0.02346366440343252,0.0015506716749629302,0.046309774660599705,0.06311606964110605,0.07725534506686212,0.12215017423849125,0.18001024732704246,0.24353010237147585,0.24261395061602722
2020-10-09,29.436666666666667,3.5633333333333335,42.896666666666654,64.92999999999999,93.25333333333334,141.14999999999998,203.0833333333333,253.9033333333333,237.5733333333333,1069.79,0.027516303822868664,0.0033308717910368706,0.040098212421752544,0.060694154927602606,0.08716975605804256,0.13194178296675046,0.18983476507850447,0.23733941552391902,0.22207473740952272
2020-10-16,26.06,3.4833333333333325,48.17666666666668,76.67000000000002,93.45666666666665,171.81333333333336,202.75666666666675,214.99666666666673,227.63999999999996,1065.0533333333333,0.024468258240588892,0.003270571739756381,0.04523404148775023,0.07198700534558522,0.08774834437086092,0.16131899497990715,0.19037231312359953,0.20186469535171955,0.21373577536023233
2020-10-23,21.793333333333333,6.44,50.14333333333333,99.87666666666665,72.83999999999999,145.48666666666665,212.93000000000004,227.60000000000005,270.09333333333325,1107.2033333333334,0.019683225905509676,0.005816456477431125,0.04528827887680974,0.09020625540024263,0.06578737419504396,0.13140013427223543,0.19231336610860397,0.20556296494772117,0.2439419438164022
2020-10-30,27.04,2.513333333333333,43.14666666666667,99.31000000000002,94.41666666666666,167.9933333333334,230.85000000000005,274.30000000000007,267.0066666666667,1206.5766666666668,0.022410511281228153,0.0020830282921654375,0.03575957322783743,0.0823072439104574,0.078251692805817,0.13923137913601294,0.1913264248990947,0.22733739809322798,0.22129274835415902
2020-11-06,37.86666666666667,6.346666666666667,54.60000000000001,76.85,117.20000000000002,164.22999999999996,316.1566666666667,334.56666666666666,319.92999999999995,1427.7466666666667,0.0265219786890298,0.004445233047879643,0.038242078426611634,0.05382607558763926,0.08208739178752535,0.1150274091575536,0.22143750992239522,0.23433195431495782,0.22408036906640763
2020-11-13,32.63333333333333,1.9033333333333333,54.193333333333335,114.53999999999999,108.6133333333333,255.02333333333334,312.98000000000013,394.50666666666666,394.49,1668.8833333333332,0.019553993189058552,0.0011404831574006573,0.03247281116115567,0.06863271848441573,0.06508144168256218,0.15281076168695637,0.1875385736969831,0.2363896018295667,0.2363796151119012
2020-11-20,22.93,16.083333333333332,56.309999999999995,82.41333333333331,80.93666666666668,201.10000000000002,368.2033333333334,336.95000000000005,421.4966666666666,1586.4233333333334,0.014453897341398994,0.01013810941593984,0.03549493934994232,0.051949143461077,0.051018328441126484,0.1267631380442799,0.2320965190039649,0.21239601871715622,0.2656899062251143
2020-11-27,29.516666666666666,6.469999999999999,57.94,86.03000000000002,111.51999999999998,256.0566666666667,406.5099999999998,454.9933333333332,417.68,1826.7166666666674,0.016158316834393213,0.003541873853817868,0.03171810990575074,0.04709542622008521,0.06104942382963967,0.14017317044241484,0.2225358794923495,0.24907712380135566,0.22865067562019278
2020-12-04,44.553333333333335,6.51,38.13000000000001,106.12666666666661,131.12666666666667,286.35,431.0066666666668,476.5,544.9966666666666,2065.2999999999997,0.021572330089252575,0.0031520844429380724,0.018462208880065858,0.05138559369905903,0.06349037266579513,0.13864813828499495,0.20868961732758767,0.23071708710598948,0.2638825675043174
2020-12-11,39.95333333333333,4.926666666666667,54.68333333333332,89.11,126.86666666666665,305.1100000000001,512.4066666666668,626.9066666666668,611.8466666666667,2371.81,0.016845081744884007,0.002077175940175084,0.023055528618790427,0.03757046306407343,0.0534893885541703,0.128640152457406,0.21604035174262134,0.26431571949973515,0.2579661383781444
2020-12-18,19.663333333333334,4.59,63.57000000000001,88.00666666666667,101.82,297.05999999999995,462.72,605.27,671.0633333333333,2313.763333333334,0.008498420322447266,0.0019837811127326474,0.027474720116865883,0.03803615754420288,0.04400622938963794,0.1283882390737168,0.199985881586852,0.26159546712498677,0.29003110372855756
2020-12-25,27.53,2.59,41.01333333333334,77.93666666666665,131.50666666666666,316.90999999999985,530.6133333333335,624.5500000000001,789.4300000000001,2542.0799999999986,0.010829714249748244,0.0010188507049345423,0.01613376972138303,0.030658620762000682,0.0517319150721719,0.12466562814702922,0.20873195703256142,0.24568463620342412,0.31054490810674745
2021-01-01,39.92,11.596666666666668,49.22666666666668,114.62333333333333,140.93333333333334,305.02666666666676,545.0966666666666,649.3866666666667,762.5566666666667,2618.366666666667,0.015246145816094002,0.004428969713943807,0.01880052450000637,0.04377665465748367,0.053824903565836205,0.11649501597688129,0.20818194548764493,0.24801211951471017,0.2912337207673995
2021-01-08,47.73666666666667,4.616666666666666,56.266666666666666,145.60000000000002,151.82333333333332,344.17666666666673,523.3533333333334,588.1,644.4099999999999,2506.0833333333344,0.019048315764971895,0.0018421840188873732,0.02245203338542878,0.058098626675090595,0.060581917334486056,0.13733648122900938,0.20883317261330753,0.23466897216772512,0.25713829681109285
2021-01-15,37.93,3.4966666666666666,29.006666666666668,81.92999999999999,131.11999999999998,301.46333333333325,538.5433333333333,603.6933333333333,634.0533333333333,2361.236666666666,0.016063616381811228,0.0014808624294331645,0.012284523223000379,0.03469791959298165,0.05553022356928784,0.12767179909962434,0.22807681285653988,0.255668286815807,0.2685259560315146
2021-01-22,38.43333333333334,4.01,40.02,81.76999999999997,112.11333333333336,246.49000000000004,440.79999999999995,517.4699999999999,542.2166666666667,2023.323333333333,0.01899515154111141,0.0019818878841246336,0.01977933993083986,0.04041370879921975,0.05541048802547626,0.12182432532615486,0.21785939633968537,0.25575249960049223,0.2679832025528957
2021-01-29,24.37333333333333,2.0033333333333334,45.12666666666667,66.71333333333332,79.36333333333332,233.5733333333333,385.88666666666666,381.4599999999999,490.37000000000006,1708.8700000000003,0.01426283645527941,0.0011723146484714068,0.02640731399501815,0.0390394432188132,0.046441995782788216,0.13668291522077938,0.22581393942585837,0.22322353368015113,0.2869557075728405
2021-02-05,19.990000000000002,3.563333333333333,41.64,55.55,66.97333333333334,186.01,313.03999999999996,362.9366666666667,423.44,1473.1433333333334,0.013569623231955253,0.0024188639711456,0.028266088613237452,0.037708482768139776,0.045462876434291304,0.12626741457608784,0.2124979918224748,0.2463688756242321,0.2874397829584358
2021-02-12,24.826666666666668,4.016666666666667,15.436666666666667,63.93666666666667,40.716666666666676,143.48333333333332,267.78999999999996,292.72333333333336,325.62,1178.5500000000002,0.021065433512932556,0.003408142774313068,0.01309801592352184,0.05425027929800743,0.03454810289480011,0.12174564790066887,0.2272198888464638,0.24837582905547775,0.2762886597938144
2021-02-19,38.07666666666667,2.046666666666667,33.10333333333334,60.540000000000006,37.48666666666667,156.55333333333337,217.52333333333337,312.1000000000001,293.32,1150.7500000000005,0.03308856542834382,0.0017785502208704463,0.028766746324860593,0.0526091679339561,0.032575856325584754,0.13604460858860162,0.18902744586863635,0.27121442537475554,0.2548946339343905
2021-02-26,17.076666666666664,3.023333333333333,19.973333333333336,54.586666666666666,35.35333333333333,119.28333333333333,210.4666666666667,225.9,272.06000000000006,957.723333333333,0.01783047992287265,0.0031567919754139162,0.020855013800088414,0.05699627937086913,0.036913931302359426,0.12454884326371224,0.2197572715850438,0.23587187670760876,0.28406951207203207
2021-03-05,13.656666666666666,2.03,16.96,40.74333333333333,49.47,140.1166666666667,215.54666666666665,178.66333333333338,206.49333333333334,863.6799999999997,0.015812183524762262,0.002350407558354947,0.019636902556502415,0.04717410769420775,0.057278158577250854,0.1622321538841547,0.2495677411386934,0.20686288131406708,0.239085463752007
2021-03-12,20.076666666666668,3.006666666666667,20.25666666666666,30.046666666666674,43.40000000000001,132.20333333333332,214.45000000000002,219.5266666666667,196.83666666666664,879.8033333333334,0.02281949375049727,0.0034174304105841834,0.023024084928071037,0.03415157175277809,0.04932920614834377,0.15026464247691715,0.2437476557260903,0.24951788467877292,0.22372803012794523
2021-03-19,27.02333333333333,3.373333333333333,22.933333333333334,50.13333333333332,64.52333333333334,141.98666666666668,214.07000000000002,191.4933333333333,184.6899999999999,900.2266666666668,0.030018365744923493,0.003747204407778781,0.02547506553904942,0.055689678155131275,0.07167454122665402,0.15772324007287053,0.23779566627664142,0.21271679725106263,0.20515944132588818
