collection_week,hosp_00-17_7_day_sum,hosp_18-19_7_day_sum,hosp_20-29_7_day_sum,hosp_30-39_7_day_sum,hosp_40-49_7_day_sum,hosp_50-59_7_day_sum,hosp_60-69_7_day_sum,hosp_70-79_7_day_sum,hosp_80+_7_day_sum,hosp_all_ages_7_day_sum
2020-07-31,75.1,22.46,125.96999999999998,145.39999999999995,205.83999999999997,264.79999999999995,332.30999999999995,328.48,313.77000000000004,1814.1299999999999
2020-08-07,54.4,17.47,146.6,180.33,178.49,266.84999999999997,335.7,338.32999999999987,294.52,1812.69
2020-08-14,82.64,12.629999999999999,161.29999999999998,174.94,173.71,318.72999999999996,341.04,302.58000000000004,337.7199999999999,1905.29
2020-08-21,79.75999999999999,17.46,147.74,171.07999999999996,174.04000000000002,297.76,336.83000000000004,328.2600000000001,322.30999999999995,1875.240000000001
2020-08-28,83.1,30.18,156.52999999999997,205.53000000000003,206.0,306.6699999999999,353.59,308.45,321.45,1971.5000000000002
2020-09-04,93.96000000000001,22.789999999999996,145.70000000000002,216.55999999999995,214.48000000000002,299.2200000000001,338.6899999999998,374.61000000000007,331.39,2037.4
2020-09-11,103.25,43.43000000000001,133.51999999999998,171.79999999999998,177.66000000000003,275.24,341.1599999999999,333.2000000000001,329.14,1908.3999999999994
2020-09-18,124.37999999999997,23.18,163.33,194.81999999999996,180.4,257.45000000000005,351.65000000000003,350.36,300.08,1945.6499999999996
2020-09-25,153.14999999999998,35.50999999999999,147.85999999999999,205.21000000000004,198.44,289.08000000000004,395.80999999999995,455.43,348.6,2229.0899999999997
2020-10-02,127.82,17.259999999999998,157.68,192.82,187.48999999999998,350.2100000000001,400.38,427.11999999999995,349.87000000000006,2210.65
2020-10-09,126.05,28.669999999999998,198.66999999999996,229.69,238.24,376.9699999999999,456.97999999999985,454.81999999999994,477.18999999999994,2587.2799999999993
2020-10-16,150.77,38.43,180.53,186.25000000000006,235.63000000000005,377.18999999999994,474.56,511.10999999999996,462.4900000000001,2616.9599999999996
2020-10-23,141.98000000000002,37.19,205.61,267.63999999999993,291.95,381.52000000000004,548.1700000000001,513.55,541.1999999999999,2928.8099999999995
2020-10-30,141.42000000000002,17.59,196.15000000000003,316.1099999999999,281.74000000000007,428.16999999999996,571.2099999999998,593.72,584.7499999999999,3130.86
2020-11-06,203.33,55.86,270.2,329.44,381.14,618.4899999999998,756.1399999999998,857.0800000000003,796.64,4268.32
2020-11-13,229.50999999999996,36.379999999999995,285.34000000000003,377.04,432.8500000000002,791.12,946.1799999999997,949.17,850.9499999999997,4898.539999999998
2020-11-20,218.74,24.970000000000002,305.3799999999999,414.61,503.40000000000003,864.6999999999997,1137.2900000000002,1130.21,1069.96,5669.2599999999975
2020-11-27,259.81000000000006,21.78,313.17999999999995,475.18000000000006,545.9,956.4499999999996,1233.8799999999999,1309.4200000000005,1340.25,6455.85
2020-12-04,265.0799999999999,52.08999999999999,361.20000000000005,518.36,558.3599999999999,1142.67,1450.3700000000001,1536.3399999999997,1564.98,7449.45
2020-12-11,234.85,51.57,331.6599999999999,509.2400000000001,544.91,1114.0099999999993,1597.9099999999996,1633.24,1642.9799999999989,7660.369999999998
2020-12-18,225.68000000000004,47.36,375.92,523.8400000000001,614.3899999999999,1225.0199999999995,1746.2599999999998,1768.4399999999998,1836.2399999999996,8363.149999999998
2020-12-25,196.87,44.36000000000001,336.60000000000014,517.09,629.6199999999999,1244.45,1859.3300000000004,1822.8499999999995,1954.0899999999995,8605.259999999998
2021-01-01,225.90999999999997,45.14999999999999,367.41,539.38,654.1999999999998,1282.86,1783.7300000000002,1950.5500000000004,2076.89,8926.079999999998
2021-01-08,253.41,49.05,344.82999999999987,529.9399999999999,688.5499999999997,1298.6399999999994,1779.1299999999997,2021.8900000000006,2152.6300000000006,9118.07
2021-01-15,236.37,39.650000000000006,409.00000000000006,562.4699999999999,690.6000000000001,1281.3899999999996,1756.7399999999998,1955.3700000000006,2053.1800000000003,8984.77
2021-01-22,279.01,66.28999999999999,364.2800000000001,530.65,625.0600000000003,1209.6799999999998,1640.9299999999998,1761.5200000000002,1827.09,8304.510000000004
2021-01-29,260.32000000000005,52.089999999999996,356.32000000000005,495.13,578.1500000000001,1022.3899999999996,1466.5700000000002,1538.7899999999988,1629.26,7399.020000000001
2021-02-05,267.3299999999999,60.47,394.8899999999999,476.61000000000007,596.05,1057.8100000000002,1404.5500000000002,1539.84,1458.0600000000002,7255.61
2021-02-12,211.4,53.21000000000001,317.1499999999999,499.24,540.51,868.0099999999999,1239.3399999999997,1267.6600000000005,1301.09,6297.609999999999
2021-02-19,204.45999999999998,62.16,313.21,472.09999999999997,542.9300000000003,853.11,1199.7700000000004,1143.6499999999994,1180.35,5971.740000000001
2021-02-26,223.27,72.56000000000002,328.26,481.6900000000001,549.5399999999997,837.8800000000001,1094.9000000000003,1064.6200000000001,1065.0199999999995,5717.739999999999
2021-03-05,231.89,46.68999999999999,330.56000000000006,419.08,507.39,849.6099999999997,1057.46,953.1299999999998,987.8800000000003,5383.6900000000005
2021-03-12,251.8,52.38,317.83000000000004,457.4099999999998,519.9300000000001,904.7799999999999,1091.52,983.8299999999999,970.1800000000003,5549.659999999998
2021-03-19,230.12,51.8,331.82000000000005,480.4599999999998,575.9,927.5699999999999,1046.53,920.1400000000001,938.0199999999999,5502.36
2021-03-26,255.09000000000003,65.11,373.49000000000007,483.97,566.8600000000002,1000.1099999999998,1157.66,917.92,945.3500000000001,5765.5599999999995
